property,version,outcome
redeem-before-deadline-reverts-nojoin1,v19,P!
redeem-before-deadline-reverts-nojoin1,v2,UNK
redeem-before-deadline-reverts-nojoin1,v20,UNK
redeem-before-deadline-reverts-nojoin1,v21,P!
redeem-before-deadline-reverts-nojoin1,v22,P!
redeem-before-deadline-reverts-nojoin1,v3,UNK
redeem-before-deadline-reverts-nojoin1,v4,P!
redeem-before-deadline-reverts-nojoin1,v5,P!
redeem-before-deadline-reverts-nojoin1,v6,UNK
redeem-before-deadline-reverts-nojoin1,v7,P!
redeem-before-deadline-reverts-nojoin1,v8,UNK
redeem-before-deadline-reverts-nojoin1,v9,P!
redeem-before-deadline-reverts-noreveal0,v1,P!
redeem-before-deadline-reverts-noreveal0,v10,P!
redeem-before-deadline-reverts-noreveal0,v11,P!
redeem-before-deadline-reverts-noreveal0,v12,P!
redeem-before-deadline-reverts-noreveal0,v13,P!
redeem-before-deadline-reverts-noreveal0,v14,P!
redeem-before-deadline-reverts-noreveal0,v15,P!
redeem-before-deadline-reverts-noreveal0,v16,UNK
redeem-before-deadline-reverts-noreveal0,v17,UNK
redeem-before-deadline-reverts-noreveal0,v18,UNK
redeem-before-deadline-reverts-noreveal0,v19,UNK
redeem-before-deadline-reverts-noreveal0,v2,UNK
redeem-before-deadline-reverts-noreveal0,v20,P!
redeem-before-deadline-reverts-noreveal0,v21,P!
redeem-before-deadline-reverts-noreveal0,v22,UNK
redeem-before-deadline-reverts-noreveal0,v3,UNK
redeem-before-deadline-reverts-noreveal0,v4,UNK
redeem-before-deadline-reverts-noreveal0,v5,P!
redeem-before-deadline-reverts-noreveal0,v6,P!
redeem-before-deadline-reverts-noreveal0,v7,P!
redeem-before-deadline-reverts-noreveal0,v8,UNK
redeem-before-deadline-reverts-noreveal0,v9,UNK
redeem-before-deadline-reverts-noreveal1,v1,P!
redeem-before-deadline-reverts-noreveal1,v10,P!
redeem-before-deadline-reverts-noreveal1,v11,UNK
redeem-before-deadline-reverts-noreveal1,v12,P!
redeem-before-deadline-reverts-noreveal1,v13,UNK
redeem-before-deadline-reverts-noreveal1,v14,UNK
redeem-before-deadline-reverts-noreveal1,v15,UNK
redeem-before-deadline-reverts-noreveal1,v16,UNK
redeem-before-deadline-reverts-noreveal1,v17,UNK
redeem-before-deadline-reverts-noreveal1,v18,P!
redeem-before-deadline-reverts-noreveal1,v19,P!
redeem-before-deadline-reverts-noreveal1,v2,UNK
redeem-before-deadline-reverts-noreveal1,v20,P!
redeem-before-deadline-reverts-noreveal1,v21,P!
redeem-before-deadline-reverts-noreveal1,v22,P!
redeem-before-deadline-reverts-noreveal1,v3,UNK
redeem-before-deadline-reverts-noreveal1,v4,UNK
redeem-before-deadline-reverts-noreveal1,v5,P!
redeem-before-deadline-reverts-noreveal1,v6,P!
redeem-before-deadline-reverts-noreveal1,v7,UNK
redeem-before-deadline-reverts-noreveal1,v8,UNK
redeem-before-deadline-reverts-noreveal1,v9,P!
redeem0-noreveal1-fairness-eoa,v1,UNK
redeem0-noreveal1-fairness-eoa,v10,UNK
redeem0-noreveal1-fairness-eoa,v11,UNK
redeem0-noreveal1-fairness-eoa,v12,UNK
redeem0-noreveal1-fairness-eoa,v13,UNK
redeem0-noreveal1-fairness-eoa,v14,UNK
redeem0-noreveal1-fairness-eoa,v15,UNK
redeem0-noreveal1-fairness-eoa,v16,P!
redeem0-noreveal1-fairness-eoa,v17,UNK
redeem0-noreveal1-fairness-eoa,v18,UNK
redeem0-noreveal1-fairness-eoa,v19,UNK
redeem0-noreveal1-fairness-eoa,v2,UNK
redeem0-noreveal1-fairness-eoa,v20,UNK
redeem0-noreveal1-fairness-eoa,v21,UNK
redeem0-noreveal1-fairness-eoa,v22,UNK
redeem0-noreveal1-fairness-eoa,v3,UNK
redeem0-noreveal1-fairness-eoa,v4,UNK
redeem0-noreveal1-fairness-eoa,v5,UNK
redeem0-noreveal1-fairness-eoa,v6,UNK
redeem0-noreveal1-fairness-eoa,v7,UNK
redeem0-noreveal1-fairness-eoa,v8,UNK
redeem0-noreveal1-fairness-eoa,v9,UNK
reveal0-reverts-after-deadline,v1,P!
reveal0-reverts-after-deadline,v10,P!
reveal0-reverts-after-deadline,v11,P!
reveal0-reverts-after-deadline,v12,P!
reveal0-reverts-after-deadline,v13,P!
reveal0-reverts-after-deadline,v14,UNK
reveal0-reverts-after-deadline,v15,UNK
reveal0-reverts-after-deadline,v16,P!
reveal0-reverts-after-deadline,v17,UNK
reveal0-reverts-after-deadline,v18,UNK
reveal0-reverts-after-deadline,v19,P!
reveal0-reverts-after-deadline,v2,UNK
reveal0-reverts-after-deadline,v20,P!
reveal0-reverts-after-deadline,v21,N!
reveal0-reverts-after-deadline,v22,P!
reveal0-reverts-after-deadline,v3,UNK
reveal0-reverts-after-deadline,v4,P!
reveal0-reverts-after-deadline,v5,UNK
reveal0-reverts-after-deadline,v6,P!
reveal0-reverts-after-deadline,v7,P!
reveal0-reverts-after-deadline,v8,P!
reveal0-reverts-after-deadline,v9,P!
reveal1-reverts-after-deadline,v1,P!
reveal1-reverts-after-deadline,v10,P!
reveal1-reverts-after-deadline,v11,P!
reveal1-reverts-after-deadline,v12,P!
reveal1-reverts-after-deadline,v13,UNK
reveal1-reverts-after-deadline,v14,P!
reveal1-reverts-after-deadline,v15,UNK
reveal1-reverts-after-deadline,v16,P!
reveal1-reverts-after-deadline,v17,P!
reveal1-reverts-after-deadline,v18,UNK
reveal1-reverts-after-deadline,v19,UNK
reveal1-reverts-after-deadline,v2,UNK
reveal1-reverts-after-deadline,v20,P!
reveal1-reverts-after-deadline,v21,P!
reveal1-reverts-after-deadline,v22,UNK
reveal1-reverts-after-deadline,v3,UNK
reveal1-reverts-after-deadline,v4,UNK
reveal1-reverts-after-deadline,v5,UNK
reveal1-reverts-after-deadline,v6,P!
reveal1-reverts-after-deadline,v7,P!
reveal1-reverts-after-deadline,v8,UNK
reveal1-reverts-after-deadline,v9,P!
status-irreversible,v1,UNK
status-irreversible,v10,UNK
status-irreversible,v11,UNK
status-irreversible,v12,UNK
status-irreversible,v13,UNK
status-irreversible,v14,UNK
status-irreversible,v15,UNK
status-irreversible,v16,UNK
status-irreversible,v17,UNK
status-irreversible,v18,UNK
status-irreversible,v19,UNK
status-irreversible,v2,UNK
status-irreversible,v20,UNK
status-irreversible,v21,UNK
status-irreversible,v22,UNK
status-irreversible,v3,UNK
status-irreversible,v4,UNK
status-irreversible,v5,UNK
status-irreversible,v6,UNK
status-irreversible,v7,UNK
status-irreversible,v8,UNK
status-irreversible,v9,UNK
win-transaction-env-independent,v1,UNK
win-transaction-env-independent,v10,UNK
win-transaction-env-independent,v11,UNK
win-transaction-env-independent,v12,UNK
win-transaction-env-independent,v13,UNK
win-transaction-env-independent,v14,UNK
win-transaction-env-independent,v15,UNK
win-transaction-env-independent,v16,UNK
win-transaction-env-independent,v17,UNK
win-transaction-env-independent,v18,UNK
win-transaction-env-independent,v19,UNK
win-transaction-env-independent,v2,UNK
win-transaction-env-independent,v20,UNK
win-transaction-env-independent,v21,UNK
win-transaction-env-independent,v22,UNK
win-transaction-env-independent,v3,UNK
win-transaction-env-independent,v4,UNK
win-transaction-env-independent,v5,UNK
win-transaction-env-independent,v6,UNK
win-transaction-env-independent,v7,UNK
win-transaction-env-independent,v8,UNK
win-transaction-env-independent,v9,UNK
winner-computation-env-independent,v1,UNK
winner-computation-env-independent,v10,P!
winner-computation-env-independent,v11,N!
winner-computation-env-independent,v12,UNK
winner-computation-env-independent,v13,UNK
winner-computation-env-independent,v14,UNK
winner-computation-env-independent,v15,UNK
winner-computation-env-independent,v16,UNK
winner-computation-env-independent,v17,UNK
winner-computation-env-independent,v18,UNK
winner-computation-env-independent,v19,P!
winner-computation-env-independent,v2,UNK
winner-computation-env-independent,v20,P!
winner-computation-env-independent,v21,UNK
winner-computation-env-independent,v22,UNK
winner-computation-env-independent,v3,UNK
winner-computation-env-independent,v4,UNK
winner-computation-env-independent,v5,UNK
winner-computation-env-independent,v6,UNK
winner-computation-env-independent,v7,P!
winner-computation-env-independent,v8,UNK
winner-computation-env-independent,v9,P!
wrong-preimage-reverts-p0,v1,UNK
wrong-preimage-reverts-p0,v10,P!
wrong-preimage-reverts-p0,v11,P!
wrong-preimage-reverts-p0,v12,N!
wrong-preimage-reverts-p0,v13,UNK
wrong-preimage-reverts-p0,v14,P!
wrong-preimage-reverts-p0,v15,P!
wrong-preimage-reverts-p0,v16,P!
wrong-preimage-reverts-p0,v17,P!
wrong-preimage-reverts-p0,v18,P!
wrong-preimage-reverts-p0,v19,UNK
wrong-preimage-reverts-p0,v2,UNK
wrong-preimage-reverts-p0,v20,P!
wrong-preimage-reverts-p0,v21,P!
wrong-preimage-reverts-p0,v22,UNK
wrong-preimage-reverts-p0,v3,UNK
wrong-preimage-reverts-p0,v4,P!
wrong-preimage-reverts-p0,v5,UNK
wrong-preimage-reverts-p0,v6,P!
wrong-preimage-reverts-p0,v7,P!
wrong-preimage-reverts-p0,v8,P!
wrong-preimage-reverts-p0,v9,P!
wrong-preimage-reverts-p1,v1,UNK
wrong-preimage-reverts-p1,v10,N!
wrong-preimage-reverts-p1,v11,UNK
wrong-preimage-reverts-p1,v12,N!
wrong-preimage-reverts-p1,v13,UNK
wrong-preimage-reverts-p1,v14,UNK
wrong-preimage-reverts-p1,v15,UNK
wrong-preimage-reverts-p1,v16,P!
wrong-preimage-reverts-p1,v17,UNK
wrong-preimage-reverts-p1,v18,UNK
wrong-preimage-reverts-p1,v19,UNK
wrong-preimage-reverts-p1,v2,UNK
wrong-preimage-reverts-p1,v20,UNK
wrong-preimage-reverts-p1,v21,UNK
wrong-preimage-reverts-p1,v22,UNK
wrong-preimage-reverts-p1,v3,UNK
wrong-preimage-reverts-p1,v4,UNK
wrong-preimage-reverts-p1,v5,UNK
wrong-preimage-reverts-p1,v6,UNK
wrong-preimage-reverts-p1,v7,N!
wrong-preimage-reverts-p1,v8,UNK
wrong-preimage-reverts-p1,v9,N!
